PR URL,PR Title,PR createdAt,PR mergedAt,PR state,stars,fork,collaborators,language
https://github.com/databricks/lilac/pull/966,Add Jina V2 embeddings,2023-12-14T17:24:15Z,2023-12-14T19:33:06Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/907,Fix keyword search to work with apostrophe `'`,2023-11-30T18:35:37Z,2023-11-30T18:55:03Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/885,Pass explicit schema during jsonl -> parquet conversion,2023-11-25T17:51:50Z,2023-11-25T19:50:53Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/878,Add support for `map` field in the schema and UI,2023-11-22T14:02:27Z,2023-11-22T17:24:30Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/858,Add jsonl intermediate caching to signals. Introduce a central spot for this cache abstraction.,2023-11-16T03:19:25Z,2023-11-16T19:00:49Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/775,Improve the Export Dataset modal dialog,2023-10-20T17:04:16Z,2023-10-20T21:47:54Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/764,Improve dataset load onboarding flow.,2023-10-12T20:35:10Z,2023-10-12T21:49:53Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/748,Make labels toggle-able ,2023-10-05T21:17:38Z,2023-10-06T14:08:39Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/740,Add a github source and a LlamaIndexDocsSource source.,2023-10-04T18:46:34Z,2023-10-04T19:57:20Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/731,Upgrade duckdb to 0.9,2023-10-01T12:56:05Z,2023-10-01T13:46:00Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/685,Migrate to Pydantic V2,2023-09-18T12:59:05Z,2023-09-19T00:40:22Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/624,Add ability to make concepts public.,2023-08-31T02:06:16Z,2023-08-31T16:26:54Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/569,Update questions concept with more examples. Fix concept UI bugs.,2023-08-16T16:57:04Z,2023-08-16T18:50:09Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/546,Add load dataset docs.,2023-08-14T20:55:16Z,2023-08-14T21:38:02Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/534,Move lilac concepts into the pip package.,2023-08-11T19:52:31Z,2023-08-12T00:28:53Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/518,"Keep the config.yml file in sync when updating settings, running signals and embeddings.",2023-08-08T18:49:18Z,2023-08-09T14:44:13Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/496,Various UI fixes after the embedding change,2023-08-03T12:34:16Z,2023-08-03T14:13:43Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/484,Add batching support to concepts.,2023-08-01T03:30:05Z,2023-08-02T13:40:06Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/466,Add authorization to concepts,2023-07-22T04:43:21Z,2023-07-25T15:06:31Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/456,Add download dialog,2023-07-19T18:41:26Z,2023-07-19T23:03:01Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/453,Add signal for language detection,2023-07-18T18:23:38Z,2023-07-18T19:46:40Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/452,Add an environment flag for LILAC_AUTH_ENABLED and turn off features.,2023-07-18T17:57:53Z,2023-07-19T12:49:59Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/450,Add persistent file-based dataset settings.,2023-07-18T13:32:36Z,2023-07-18T14:01:58Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/1160,Fix some issues with exporting.,2024-02-02T16:27:55Z,2024-02-02T18:58:46Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/1141,Improve clusters and several bug fixes,2024-01-29T16:30:40Z,2024-01-29T17:01:47Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/1126,Cache dataset.pivot() and make cluster search box more visible,2024-01-24T21:46:39Z,2024-01-25T15:43:39Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/1121,Fix a few bugs related to concepts and clustering,2024-01-24T16:50:37Z,2024-01-24T17:10:42Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/1120,Add more demo datasets.,2024-01-24T16:02:42Z,2024-01-24T20:56:23Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/1102,Move use_garden outside of a Signal.,2024-01-19T23:08:38Z,2024-01-20T01:24:34Z,MERGED,1035,False,10,Python
https://github.com/databricks/lilac/pull/1011,Add the ability to delete and restore rows from the UI.,2024-01-03T16:55:33Z,2024-01-03T19:15:15Z,MERGED,1035,False,10,Python
https://github.com/axolotl-ai-cloud/axolotl/pull/982,fix mistral prompt assembly,2023-12-20T01:38:22Z,2023-12-21T16:00:55Z,MERGED,9402,False,100,Python
https://github.com/argilla-io/distilabel/pull/670,Add `ArenaHard` benchmark and `ArenaHardResults` step,2024-05-23T11:27:18Z,2024-06-12T10:34:17Z,MERGED,2707,False,36,Python
https://github.com/argilla-io/argilla-server/pull/23,feat: add different deterministic sorting of records per user,2024-02-09T17:13:48Z,2024-02-26T08:54:16Z,MERGED,9,False,7,Python
https://github.com/Trusted-AI/adversarial-robustness-toolbox/pull/1781,Update kornia requirement from ~=0.6.5 to ~=0.6.6,2022-07-18T07:03:42Z,2022-07-18T14:12:22Z,MERGED,5271,False,100,Python
https://github.com/TEAMuP-dev/HARP/pull/213,Gradio/HTTP - Labels - MidiPlayback - Improved Error Handling - UI fixes,2024-08-20T08:06:15Z,2024-10-25T09:50:28Z,MERGED,60,False,17,C++
https://github.com/SEA-AI/seametrics/pull/53,Cv 260 refactor uf metrics code,2025-02-06T18:27:41Z,2025-02-19T15:19:21Z,MERGED,1,False,11,Jupyter Notebook
https://github.com/PrunaAI/pruna/pull/44,feat: Add Hugging Face integration to save and load models,2025-04-01T14:42:37Z,2025-04-22T17:06:58Z,MERGED,692,False,11,Python
https://github.com/Marker-Inc-Korea/AutoRAG/pull/267,Add BERT score generation metric,2024-04-04T13:54:02Z,2024-04-05T09:06:18Z,MERGED,3966,False,21,Python
https://github.com/Lightning-Universe/lightning-flash/pull/1676,"build(deps): update transformers requirement from <=4.30.2,>=4.13.0 to >=4.13.0,<=4.32.0 in /requirements",2023-08-28T11:31:50Z,2023-09-01T17:46:10Z,MERGED,1742,False,87,Python
https://github.com/Lightning-AI/torchmetrics/pull/2871,build(deps): update huggingface-hub requirement from <0.27 to <0.28 in /requirements,2024-12-16T23:49:23Z,2024-12-17T10:26:07Z,MERGED,2272,False,100,Python
https://github.com/Lightning-AI/torchmetrics/pull/2472,build(deps): update huggingface-hub requirement from <0.22 to <0.23 in /requirements,2024-03-25T23:42:59Z,2024-03-28T21:12:35Z,MERGED,2272,False,100,Python
https://github.com/Lightning-AI/torchmetrics/pull/2176,build(deps): update huggingface-hub requirement from <0.18 to <0.19 in /requirements,2023-10-16T23:59:30Z,2023-10-17T20:23:03Z,MERGED,2272,False,100,Python
https://github.com/JohnSnowLabs/spark-nlp/pull/13859,"SPARKNLP 852 - Introducing ""E5 Embeddings"" for sentence embeddings like e5-large-v2 model",2023-06-20T14:40:15Z,2023-07-01T13:17:10Z,MERGED,3979,False,100,Scala
https://github.com/JohnSnowLabs/spark-nlp/pull/13849,"SPARKNLP 836 - Introducing ""Instructor Embeddings"" for sentence embeddings like Instructor-XL model",2023-06-08T09:22:46Z,2023-07-01T13:07:33Z,MERGED,3979,False,100,Scala
https://github.com/Imageomics/pybioclip/pull/3,Add bioclip command line tool,2024-03-29T19:08:45Z,2024-04-01T16:51:00Z,MERGED,31,False,4,Python
https://github.com/Chr728/Compass/pull/467,Gradio snoring ai backend + Gradio deployment of the existing models #396 #431 #443,2024-03-04T02:36:46Z,2024-03-07T07:18:36Z,MERGED,4,False,10,Jupyter Notebook
https://github.com/All-Hands-AI/OpenHands/pull/2685,[Agent] (Potentially) improve Editing using `diff`,2024-06-29T01:35:10Z,2024-07-02T02:50:15Z,MERGED,54945,False,100,Python
https://github.com/AlignmentResearch/tuned-lens/pull/55,Refactors the `TunedLens` and `LogitLens` classes to now use the `Unembed` class,2023-04-03T18:09:32Z,2023-04-26T03:12:37Z,MERGED,490,False,5,Python
