PR URL,stars,collaborators,language
https://github.com/alshedivat/al-folio/pull/2059,9671,100,HTML
https://github.com/airbytehq/airbyte/pull/36898,14605,100,Python
https://github.com/airbytehq/airbyte/pull/33679,14605,100,Python
https://github.com/WordPress/gutenberg/pull/54172,9948,100,JavaScript
https://github.com/TurboWarp/extensions/pull/1035,107,55,JavaScript
https://github.com/SharezoneApp/sharezone-app/pull/980,251,9,Dart
https://github.com/SharezoneApp/sharezone-app/pull/880,251,9,Dart
https://github.com/SchemaStore/schemastore/pull/3002,2927,100,JavaScript
https://github.com/SalesforceCommerceCloud/pwa-kit/pull/1528,273,47,JavaScript
https://github.com/SSWConsulting/SSW.Rules.Content/pull/7614,43,100,JavaScript
https://github.com/SSWConsulting/SSW.Rules.Content/pull/6250,43,100,JavaScript
https://github.com/PrivateBin/PrivateBin/pull/1134,6024,100,PHP
https://github.com/PolicyEngine/policyengine-us/pull/3987,94,100,Python
https://github.com/PickNikRobotics/moveit_studio_ur_ws/pull/220,18,26,C++
https://github.com/PaulRBerg/prb-proxy/pull/119,272,5,Solidity
https://github.com/OthersideAI/self-operating-computer/pull/57,8121,24,Python
https://github.com/OthersideAI/self-operating-computer/pull/52,8121,24,Python
https://github.com/OpenDevin/OpenDevin/pull/1204,27368,100,Python
https://github.com/NixOS/foundation/pull/144,61,13,
https://github.com/Mudlet/Mudlet/pull/7123,708,100,C++
https://github.com/Mudlet/Mudlet/pull/7120,708,100,C++
https://github.com/MrNeRF/gaussian-splatting-cuda/pull/23,848,5,C
https://github.com/MartinsOnuoha/what-should-i-design/pull/8,10,3,Vue
https://github.com/MERLCenter/MERL-Center-public/pull/112,25,23,SCSS
https://github.com/Koenkk/zigbee-herdsman/pull/992,460,100,TypeScript
https://github.com/InseeFrLab/images-datascience/pull/171,21,17,Shell
https://github.com/IDinsight/aaq-core/pull/205,18,9,Python
https://github.com/GaloyMoney/blink-mobile/pull/2403,136,54,TypeScript
https://github.com/GaloyMoney/blink-mobile/pull/2361,136,54,TypeScript
https://github.com/Codeinwp/otter-blocks/pull/1878,126,22,JavaScript
https://github.com/Charcoal-SE/SmokeDetector/pull/10644,463,100,Python
https://github.com/BitBoxSwiss/bitbox-wallet-app/pull/2415,245,42,Go
https://github.com/BitBoxSwiss/bitbox-wallet-app/pull/2368,245,42,Go
https://github.com/ArnoldSmith86/virtualtabletop/pull/1778,150,21,JavaScript
https://github.com/Altinity/clickhouse-backup/pull/648,1175,83,Go
https://github.com/2Abendsegler/GClh/pull/2376,56,26,JavaScript
https://github.com/0x2447196/raypeatarchive/pull/19,17,5,Shell
https://github.com/polywrap/evo.ninja/pull/629,1040,15,TypeScript
https://github.com/polywrap/evo.ninja/pull/206,1040,15,TypeScript
https://github.com/polywrap/AutoTx/pull/68,80,7,Python
https://github.com/OpenAccess-AI-Collective/axolotl/pull/1504,6621,100,Python
